player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
gorgui dieng,2017.5,3058.88,1495.75,-1.31,0.66,-0.65,-2.13,0.21,-1.92,-1.56,0.65,-0.92,1.48,1.46,0.01,-1.41,0.93,-0.48,-0.28,1.0,0.45,0.42,0.18,37.26
grant williams,2022.0,5165.0,2529.0,-1.24,1.21,-0.03,0.24,-2.68,-2.44,-1.02,0.38,-0.65,2.74,1.71,1.03,-1.47,0.87,-0.6,-0.36,1.0,0.42,0.42,0.22,37.22
grayson allen,2022.0,4468.0,2110.0,0.44,-0.32,0.13,-0.68,1.13,0.45,0.21,-0.07,0.14,3.12,2.87,0.26,0.02,-0.29,-0.27,0.02,1.0,0.44,0.47,0.24,39.93
greg monroe,2016.5,3625.33,1803.33,-0.07,0.38,0.3,-0.45,-1.19,-1.64,-0.15,0.08,-0.07,2.91,2.8,0.11,-0.31,0.21,-0.1,0.13,1.0,0.45,0.45,0.23,39.62
greivis vasquez,2014.5,3956.5,2030.5,0.08,-1.6,-1.52,-0.33,1.08,0.76,-0.04,-1.12,-1.16,1.6,1.19,0.4,0.06,-1.67,-1.61,-1.01,1.0,0.39,0.42,0.19,35.03
hamidou diallo,2021.5,2615.5,1247.5,-0.69,0.52,-0.18,-2.05,1.04,-1.01,-0.92,0.69,-0.23,1.6,1.6,0.0,-1.7,0.84,-0.86,0.22,1.0,0.41,0.44,0.18,36.48
harrison barnes,2018.0,5354.44,2587.22,-0.49,-0.23,-0.72,-1.3,-0.94,-2.24,-0.68,-0.4,-1.08,2.19,2.05,0.14,-0.66,-0.53,-1.19,-0.3,1.0,0.42,0.43,0.22,37.12
hassan whiteside,2019.5,3265.33,1585.83,-1.46,2.53,1.07,0.67,0.16,0.84,-1.11,2.2,1.09,3.58,3.59,-0.02,-0.95,1.99,1.04,-0.16,1.0,0.57,0.58,0.28,49.78
henry sims,2014.5,2311.0,1137.0,-1.77,-1.12,-2.89,-2.96,-0.52,-3.48,-2.01,-1.04,-3.05,-0.44,-0.44,0.0,-2.17,-1.28,-3.45,0.39,1.0,0.27,0.29,0.1,23.35
hollis thompson,2015.5,3328.75,1606.0,-1.42,-2.27,-3.69,-0.51,-1.21,-1.72,-1.25,-2.16,-3.41,-0.52,-0.52,0.0,-1.87,-2.16,-4.03,-0.02,1.0,0.24,0.26,0.1,21.32
ian clark,2017.5,2508.25,1176.5,-0.93,-2.81,-3.75,-3.38,-1.27,-4.65,-1.56,-2.7,-4.26,-0.68,-0.77,0.09,-1.36,-2.82,-4.17,-0.02,1.0,0.24,0.22,0.1,19.77
iman shumpert,2016.2,3866.8,1937.4,-0.87,0.88,0.01,0.04,1.63,1.67,-0.77,1.09,0.32,3.11,2.55,0.55,-0.31,1.23,0.91,-0.1,1.0,0.52,0.49,0.24,44.21
isaiah canaan,2016.75,2162.75,1055.0,-0.94,-1.53,-2.47,-3.09,-1.36,-4.45,-1.39,-1.58,-2.97,0.01,0.05,-0.04,-1.41,-1.57,-2.99,-0.36,1.0,0.3,0.3,0.12,25.7
isaiah thomas,2016.67,4171.0,2013.83,3.1,-2.46,0.65,2.37,-2.3,0.06,3.14,-2.56,0.59,5.1,4.81,0.3,3.06,-2.75,0.3,0.86,1.0,0.48,0.5,0.32,44.89
ja morant,2022.0,4714.0,2227.0,5.23,-0.45,4.78,2.72,-2.95,-0.23,4.98,-1.05,3.94,7.7,5.64,2.06,4.96,-0.31,4.65,0.68,1.0,0.71,0.68,0.41,62.27
jabari parker,2018.5,2773.75,1319.75,-0.09,-1.08,-1.16,-0.37,-1.64,-2.01,-0.13,-1.23,-1.35,0.9,0.8,0.1,0.31,-1.37,-1.06,0.69,1.0,0.42,0.41,0.16,35.21
jae crowder,2018.0,4711.89,2267.56,0.23,0.85,1.08,0.55,1.34,1.89,0.29,0.98,1.27,4.58,3.78,0.8,0.75,1.04,1.79,0.38,1.0,0.57,0.55,0.3,49.72
