,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score
9324,Wing G,2013,damion lee,111.8,51.1,55.98,90,4.04491,121.182,100.738,5.61551,1.8148,17.1481,0.97996654,0.64,5.65612,31.982942430703627
9325,Wing G,2016,damion lee,117.9,51.4,57.09,91,4.18571,123.892,87.6416,4.04929,1.9667,15.9333,1.17999637,0.65,7.53817,31.982942430703627
9382,Wing G,2013,damyean dotson,104.9,50.3,52.26,116,2.22854,108.682,91.684,2.41829,0.8919,11.3514,0.64705457,0.6703,4.0364,8.102345415778252
9383,Wing G,2014,damyean dotson,106.2,48.7,52.47,90,1.79543,110.444,102.443,1.58352,1.2121,9.4242,1.05262705,0.6395,1.23152,8.102345415778252
9995,Wing G,2010,darius miller,114.2,50.0,52.67,43,1.77453,110.132,92.1621,2.23143,1.5263,6.4737,1.65704041,0.6316,4.89411,42.771855010660985
10527,Wing G,2015,david nwaba,96.8,42.8,46.88,95,1.79083,106.853,95.7135,2.08967,1.4583,11.4167,0.9722,0.5789,4.23467,62.37384506041224
10528,Wing G,2016,david nwaba,103.3,45.8,50.68,120,2.53564,114.654,107.066,3.70478,3.3929,12.4643,1.61022257,0.5658,3.80412,62.37384506041224
10802,Wing G,2016,deandre' bembry,110.7,51.3,53.91,204,4.22179,120.696,93.9216,4.77418,4.4722,17.4167,2.20544419,0.7202,7.89142,40.29850746268657
10843,Wing G,2011,deandre liggins,106.5,49.2,52.25,76,2.09098,105.39,90.4115,1.1657,2.5263,8.6316,1.74540555,0.5753,4.90757,23.14143567874912
10844,Wing G,2010,deandre liggins,109.5,50.0,52.14,22,0.887274,102.53,88.2036,0.767033,0.8276,3.7586,1.41180485,0.6818,4.91085,23.14143567874912
11334,Wing G,2013,denzel valentine,94.6,49.3,51.61,51,0.970233,98.6875,85.9432,0.67855,2.4,5.0286,1.25372206,0.5962,3.76621,41.165600568585646
11336,Wing G,2014,denzel valentine,106.9,48.9,51.2,65,2.19099,110.021,92.5243,1.95537,3.7895,7.9737,2.08695897,0.5862,4.61924,41.165600568585646
11337,Wing G,2015,denzel valentine,114.2,55.7,58.35,95,4.31272,125.883,91.1393,7.07675,4.2821,14.5385,1.81521842,0.6667,9.44623,41.165600568585646
11749,Wing G,2019,desmond bane,121.8,58.2,60.72,147,4.61955,125.423,94.9214,4.5834,2.4054,15.2162,1.81635577,0.6933,7.01536,
11750,Wing G,2020,desmond bane,112.2,54.9,56.54,100,4.99592,125.53,93.4562,6.55709,3.875,16.5938,1.67567568,0.6176,8.89525,
11751,Wing G,2018,desmond bane,121.7,64.9,67.06,86,3.61841,122.687,100.646,3.79126,2.4848,12.5152,1.41374611,0.6939,5.20407,
11752,Wing G,2017,desmond bane,113.8,58.7,61.31,68,1.77961,112.623,99.3797,1.20975,0.9744,7.1026,0.97439998,0.6667,1.8546,
11891,Wing G,2015,devin booker,121.0,57.1,60.02,77,3.01039,128.123,86.245,5.91621,1.1053,10.0263,1.13515453,0.7119,8.23184,61.90476190476191
11933,Wing G,2015,devin harris,91.5,39.5,46.46,41,0.072293,88.3267,103.103,-3.08816,1.0,6.037,0.64283876,0.4531,-3.40353,59.9857853589197
11934,Wing G,2014,devin harris,79.1,40.5,45.17,12,-0.422332,75.105,108.823,-3.92602,0.5882,2.2941,0.6665911,0.5556,-4.60653,59.9857853589197
11936,Wing G,2017,devin harris,113.2,56.3,58.36,75,1.77742,104.682,111.531,0.217401,2.6957,10.913,1.47620609,0.6829,-0.414559,59.9857853589197
12005,Wing G,2020,devin vassell,124.8,56.5,58.48,100,4.20737,127.891,89.1128,6.37984,1.6333,12.6667,2.13029853,0.6986,10.064,
12006,Wing G,2019,devin vassell,117.8,54.6,56.31,26,1.30087,123.004,89.1536,5.53536,0.6364,4.5152,1.75027505,0.6316,9.87843,
12337,Wing G,2017,dillon brooks,113.3,55.4,58.2,141,3.93831,132.463,92.5238,5.82998,2.7143,16.1143,1.3194788,0.6589,7.84291,63.909026297086
12338,Wing G,2016,dillon brooks,113.3,51.5,55.86,178,4.56732,127.908,97.3526,5.2745,3.1622,16.8108,1.32954922,0.6415,6.1096,63.909026297086
